"","SRR10025184","SRR10025185","SRR17261763","SRR17261764","SRR17261651","SRR17261652","SRR17261653","SRR8145407","SRR8145408","SRR8145409","SRR8145410","SRR8145411","SRR8145412","SRR17261705","SRR5115673","SRR5115674","SRR5115675"
"ENSMUSG00000012117.14",1039,627,1064,1028,1140,1126,1080,285,312,347,341,296,301,1311,113,129,109
"ENSMUSG00000050966.10",0,0,2,0,0,0,0,0,0,3,0,1,1,4,0,0,0
"ENSMUSG00000049410.9",74,10,20,8,28,21,23,1,3,1,1,4,3,20,1,0,2
"ENSMUSG00000012123.18",522,209,125,48,172,85,256,17,112,67,66,86,91,358,46,40,148
"ENSMUSG00000000682.8",413,313,626,393,982,511,1057,142,145,230,302,113,108,779,43,104,80
"ENSMUSG00000012126.17",69,15,19,25,14,7,15,3,4,2,7,4,1,8,1,2,10
"ENSMUSG00000028843.9",267,179,596,610,427,262,425,84,125,153,222,85,89,441,10,16,14
"ENSMUSG00000037443.14",12790,6392,5061,11853,2885,4025,2558,1128,1271,1146,996,1265,950,7362,1197,1436,1228
"ENSMUSG00000073747.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048003.13",3,2,0,4,0,0,2,0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000028841.15",14,7,5,20,3,4,8,0,3,1,0,3,3,8,0,6,0
"ENSMUSG00000028840.11",22,10,22,27,20,14,18,5,5,3,8,6,7,24,8,6,13
"ENSMUSG00000086322.8",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"ENSMUSG00000108398.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050105.6",8,4,6,3,4,6,2,1,0,2,3,1,1,9,3,5,1
"ENSMUSG00000050890.16",921,1080,277,330,399,358,367,48,77,63,63,61,74,517,584,603,486
"ENSMUSG00000028834.14",0,2,0,0,2,0,0,1,3,3,7,5,3,0,0,0,0
"ENSMUSG00000028836.15",2,1,4,9,2,0,3,1,7,1,1,1,1,7,0,0,1
"ENSMUSG00000028838.12",251,88,563,902,225,8,201,23,161,155,147,88,114,984,185,216,325
"ENSMUSG00000037366.15",5451,3480,3266,4235,4367,3370,3829,1000,963,905,949,855,1057,6263,2836,2610,3553
"ENSMUSG00000028832.12",226,165,417,195,251,368,346,105,90,103,428,98,52,440,12,43,45
"ENSMUSG00000037348.16",1634,932,1293,941,890,783,911,159,210,248,235,243,418,1165,1194,1369,1658
"ENSMUSG00000078521.3",6,7,6,0,5,4,5,1,1,2,3,0,1,5,0,5,0
"ENSMUSG00000046671.19",1915,1263,3068,3217,2419,2168,2069,643,708,652,660,643,716,2994,960,1188,1022
"ENSMUSG00000050989.11",189,177,186,118,300,182,290,33,41,40,69,29,29,192,25,46,39
"ENSMUSG00000037306.14",312,246,177,185,315,204,275,37,30,37,60,37,30,201,54,83,113
"ENSMUSG00000037295.8",1778,1166,913,1177,1652,1312,1455,241,323,327,377,278,371,1602,428,570,621
"ENSMUSG00000028826.15",2735,2886,1118,1730,1575,1341,1314,345,451,359,338,367,369,1590,1250,1446,1401
"ENSMUSG00000028825.8",63,62,29,2,3,1,3,4,1,3,8,5,1,0,0,2,6
"ENSMUSG00000028822.12",2924,1815,3346,3202,2998,3579,3180,1077,974,1022,932,1077,837,3568,761,798,850
"ENSMUSG00000037266.19",25388,18352,21723,25568,13407,14423,12755,8269,5087,5265,4313,5822,4824,17872,2182,2473,2558
"ENSMUSG00000028821.9",2120,1670,1571,1846,1348,1299,1139,413,446,395,439,452,470,1562,1116,1273,1361
"ENSMUSG00000070691.11",97,68,25,15,49,66,54,20,17,26,13,14,6,43,2,2,2
"ENSMUSG00000037242.9",5685,5666,1637,2189,3496,3853,3546,469,493,491,529,434,490,3326,1357,1549,1489
"ENSMUSG00000028809.17",5427,4001,1869,3076,2085,1540,1653,401,470,482,432,416,401,2537,283,349,352
"ENSMUSG00000043924.17",153,157,212,72,115,53,174,14,111,155,116,31,167,239,44,42,155
"ENSMUSG00000059713.13",167,126,99,97,147,127,221,30,44,34,48,30,19,116,51,78,98
"ENSMUSG00000028803.19",489,363,274,220,432,484,474,85,89,108,106,82,99,575,194,213,293
"ENSMUSG00000028801.15",5,2,2,5,1,1,3,0,0,0,1,0,0,4,0,1,1
"ENSMUSG00000037188.8",32,13,11,13,16,23,15,0,3,3,0,2,3,6,2,5,2
"ENSMUSG00000062157.7",24,13,28,29,10,17,9,4,2,2,2,4,3,37,0,4,2
"ENSMUSG00000037157.9",300,366,23,104,165,122,104,12,22,16,21,11,24,170,64,54,54
"ENSMUSG00000037139.16",66,19,19,196,31,11,25,29,13,16,27,14,11,59,11,11,25
"ENSMUSG00000028676.18",5050,6531,1370,1635,1736,1520,1376,374,433,366,412,341,347,1567,780,962,778
"ENSMUSG00000028675.13",4114,4224,1702,1482,2642,2099,2315,416,429,396,531,402,561,2349,1273,1504,1833
"ENSMUSG00000062585.12",377,397,151,166,317,220,328,30,25,33,30,17,41,146,120,150,147
"ENSMUSG00000028673.11",2978,2182,2765,2440,2822,2293,2625,662,819,740,836,624,743,3764,1364,1506,1664
"ENSMUSG00000028672.14",9980,7840,8351,5481,7646,6014,6883,1446,1898,1746,1899,1505,2581,8473,1325,1660,1634
"ENSMUSG00000028671.17",468,323,908,392,870,756,866,212,254,209,387,181,309,567,723,604,933
"ENSMUSG00000028670.15",1364,738,2515,2368,2088,1685,1860,583,594,572,567,514,534,2116,476,497,616
"ENSMUSG00000028669.16",1038,904,823,631,947,689,707,225,231,225,287,178,280,757,665,778,821
"ENSMUSG00000028668.6",3510,3022,772,864,1811,1637,1584,276,283,273,277,195,266,1763,942,1101,1048
"ENSMUSG00000059291.16",13055,12277,9133,11548,9316,10132,8070,3367,3516,3022,3615,3463,4478,7896,2177,2364,2261
"ENSMUSG00000007872.4",2358,1249,1572,2253,3890,4113,2465,866,507,584,958,259,416,3009,2250,2377,3122
"ENSMUSG00000018983.10",50,32,144,46,69,65,80,22,18,34,32,10,13,133,43,36,35
"ENSMUSG00000036995.8",375,372,795,848,482,403,337,104,37,42,73,46,42,438,162,196,121
"ENSMUSG00000001604.15",1863,1527,2152,625,1762,1492,1672,429,518,475,346,541,595,1536,651,669,470
"ENSMUSG00000051351.15",503,335,213,317,307,254,252,42,32,31,37,36,39,198,111,97,103
"ENSMUSG00000066037.15",5150,4644,759,964,1566,1339,1266,359,405,330,379,410,392,1320,929,987,930
"ENSMUSG00000070687.12",0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,1,0
"ENSMUSG00000001089.15",2622,3137,439,491,1006,873,942,111,143,118,162,155,135,833,541,704,697
"ENSMUSG00000036940.16",1685,1520,640,806,588,522,507,145,141,133,193,144,134,588,779,810,829
"ENSMUSG00000036921.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070683.8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028664.15",44,23,3,2,19,10,29,5,4,2,4,11,3,20,14,10,20
"ENSMUSG00000036905.9",2214,4132,4589,3177,9475,3437,9887,563,1314,1576,2698,792,688,6693,842,1413,1217
"ENSMUSG00000036896.6",2048,1993,4324,3471,8686,3400,7965,581,1076,1276,2315,615,592,6410,955,1665,1331
"ENSMUSG00000036887.6",2094,1659,3535,2511,8875,3254,9608,678,1202,1584,2814,754,606,5996,1248,2229,1632
"ENSMUSG00000028661.9",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"ENSMUSG00000060862.11",1158,744,508,872,368,347,272,74,90,67,79,68,84,543,208,308,257
"ENSMUSG00000036856.5",174,111,70,68,120,49,93,29,72,39,40,56,71,70,20,32,48
