"","SRR10025184","SRR10025185","SRR17261763","SRR17261764","SRR17261651","SRR17261652","SRR17261653","SRR8145407","SRR8145408","SRR8145409","SRR8145410","SRR8145411","SRR8145412","SRR17261705","SRR5115673","SRR5115674","SRR5115675"
"ENSMUSG00000052013.16",252,334,81,16,109,82,54,18,26,9,17,12,19,86,36,36,69
"ENSMUSG00000022661.15",79,51,27,33,50,73,22,35,23,22,10,35,12,25,13,9,31
"ENSMUSG00000053182.12",63,56,2,8,8,31,10,1,2,1,0,1,0,6,5,5,2
"ENSMUSG00000116542.2",1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033210.17",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000022659.14",36,48,11,1,7,15,13,4,3,3,3,4,1,29,9,5,2
"ENSMUSG00000033187.9",12,13,3,13,3,44,0,13,1,0,2,2,1,1,0,1,1
"ENSMUSG00000033177.14",10,16,6,7,1,49,2,3,1,2,1,2,0,15,2,0,1
"ENSMUSG00000022658.11",56,19,36,13,7,8,11,9,10,3,7,6,6,11,3,8,3
"ENSMUSG00000033157.18",465,424,250,329,189,217,146,89,63,66,76,71,57,214,105,137,154
"ENSMUSG00000033149.18",7011,5645,1971,1472,2607,1981,2180,441,464,378,407,496,491,2380,2068,2192,2109
"ENSMUSG00000087141.2",7320,6332,1634,1485,2844,2465,2379,475,476,452,396,640,380,3681,1626,2190,1845
"ENSMUSG00000022657.10",49,33,9,10,21,27,18,12,2,8,5,4,4,26,8,11,6
"ENSMUSG00000048087.7",63698,48936,34995,108785,82314,91167,65816,19403,17009,14296,9902,16229,17187,90444,53048,52047,46388
"ENSMUSG00000022656.16",5371,7872,1754,1530,2418,2369,1774,460,456,387,429,479,517,2267,2385,2331,2185
"ENSMUSG00000058550.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072419.6",2,0,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0
"ENSMUSG00000110573.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022652.8",1,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0
"ENSMUSG00000030775.12",12,33,2,1,15,11,7,3,0,2,0,0,0,5,1,1,2
"ENSMUSG00000022650.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061100.6",2,0,8,3,1,0,14,2,7,4,1,1,1,1,0,0,0
"ENSMUSG00000022651.7",6,11,95,396,50,29,12,24,5,39,36,10,4,145,6,4,2
"ENSMUSG00000064061.14",525,786,60,40,131,179,150,32,24,18,25,29,14,126,138,194,201
"ENSMUSG00000033031.14",90,143,39,17,79,96,86,6,13,8,54,14,6,97,10,38,31
"ENSMUSG00000092009.2",4,3,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000032965.12",90,87,31,68,38,49,50,15,18,14,19,14,5,33,18,20,19
"ENSMUSG00000055447.20",9900,13424,3291,3579,4692,4244,4055,1296,1267,1324,1277,1107,1005,4113,2418,2636,3076
"ENSMUSG00000022641.16",2758,3188,363,410,791,632,601,88,137,119,96,105,90,542,363,559,502
"ENSMUSG00000050685.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022637.12",3844,2905,440,485,563,558,435,76,77,75,64,59,111,496,221,245,174
"ENSMUSG00000022636.14",6703,7853,1296,1148,2249,3585,2430,587,620,425,578,783,630,1744,3669,4085,3978
"ENSMUSG00000064310.11",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000035356.18",1625,1169,747,1699,731,842,435,235,140,234,278,235,126,816,286,368,354
"ENSMUSG00000075033.5",133,102,69,71,65,64,89,25,21,22,18,17,13,72,9,16,9
"ENSMUSG00000022604.19",705,694,132,254,205,162,124,30,34,29,48,30,35,153,134,145,114
"ENSMUSG00000098274.8",157,189,2042,3316,1006,1024,906,731,705,713,654,729,711,910,87,129,128
"ENSMUSG00000022601.12",2342,2520,401,587,471,548,415,83,105,75,85,107,88,589,712,736,719
"ENSMUSG00000071533.12",5292,6855,2437,2355,3009,2496,2406,588,633,509,608,483,649,2529,1394,1335,1351
"ENSMUSG00000044763.9",1366,2076,357,555,652,683,577,118,135,110,103,128,140,708,628,619,542
"ENSMUSG00000052917.16",1568,1345,214,314,354,403,360,100,60,52,55,81,73,322,176,173,189
"ENSMUSG00000035270.16",1175,1413,131,152,313,305,261,32,75,40,72,39,63,121,213,178,322
"ENSMUSG00000035258.16",1249,979,109,120,259,210,221,28,35,48,36,48,46,157,109,119,117
"ENSMUSG00000022757.20",2724,3343,1621,1145,1819,1401,1621,332,365,379,425,266,415,1734,280,319,330
"ENSMUSG00000022755.5",3,3,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1
"ENSMUSG00000022754.7",20,16,4,8,15,29,26,8,5,3,6,16,9,33,18,30,20
"ENSMUSG00000109588.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046748.9",3,1,2,0,8,0,0,0,1,1,0,0,1,1,0,0,0
"ENSMUSG00000022752.10",11077,15022,3120,3223,5326,4084,4167,1078,1133,1028,1089,1043,1324,5894,4253,4661,4685
"ENSMUSG00000022751.10",6041,6396,6389,3425,6839,5475,5735,1601,1533,1376,1570,1303,1878,6441,4507,4750,5856
"ENSMUSG00000022749.9",2284,1734,618,707,664,594,629,106,137,126,127,128,151,768,756,807,862
"ENSMUSG00000022753.16",1,2,0,0,1,1,3,0,0,0,1,0,1,0,0,0,0
"ENSMUSG00000022748.9",180,197,101,131,90,110,88,43,40,48,49,48,39,116,32,47,47
"ENSMUSG00000043336.15",1064,1506,460,358,845,456,619,73,137,73,159,112,61,673,110,151,100
"ENSMUSG00000068196.6",77,46,22,3,23,55,61,9,3,9,8,5,5,22,8,10,8
"ENSMUSG00000035107.14",449,336,72,131,131,134,156,22,30,11,12,37,26,101,71,138,112
"ENSMUSG00000022747.18",2197,1975,607,783,1034,415,894,191,295,264,280,187,317,931,253,434,391
"ENSMUSG00000075002.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000055789.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022742.7",12293,9802,2986,2429,4217,2788,2455,729,683,788,683,737,1007,5886,2717,2855,2062
"ENSMUSG00000047293.8",1,0,0,4,4,1,1,0,0,0,1,0,0,3,1,3,0
"ENSMUSG00000022744.13",1114,1243,560,682,815,908,714,149,156,119,147,124,155,875,164,186,159
"ENSMUSG00000071510.4",23,24,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000049362.7",20,18,6,2,1,5,0,1,1,1,2,0,0,2,0,2,1
"ENSMUSG00000060663.7",4,12,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ENSMUSG00000063137.6",3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000044029.7",3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090629.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090951.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062105.6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000047960.5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000043357.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064006.7",1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"ENSMUSG00000094539.4",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000060057.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063020.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062608.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096695.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052537.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074996.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074995.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048810.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068182.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095928.4",4,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094422.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066257.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095706.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074991.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022724.16",793,648,160,189,370,306,322,57,76,74,64,68,74,472,113,134,124
"ENSMUSG00000022723.17",3460,3564,210,263,728,334,437,20,63,46,57,27,64,409,551,984,573
"ENSMUSG00000022722.19",121,142,118,122,151,146,102,19,25,26,32,20,13,105,111,98,109
"ENSMUSG00000055540.16",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000050312.13",1119,1479,383,378,516,527,480,107,124,103,107,92,116,574,174,173,191
"ENSMUSG00000022911.12",776,792,185,609,415,519,417,173,103,107,60,136,80,524,134,202,185
"ENSMUSG00000047854.6",77,77,0,0,8,6,6,3,2,1,4,3,0,2,7,19,6
"ENSMUSG00000022912.9",3580,4276,2257,3696,2957,3643,2651,870,520,698,629,899,523,3742,2207,3420,2313
"ENSMUSG00000052504.8",104,132,27,13,38,37,45,8,9,0,5,9,8,15,21,36,33
"ENSMUSG00000068167.7",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059920.10",2432,2806,925,1294,1023,798,781,310,248,250,252,220,259,1143,1045,1109,983
"ENSMUSG00000047141.6",2652,3704,353,556,678,628,522,109,130,105,90,123,117,658,824,915,829
"ENSMUSG00000054604.8",5110,7447,1633,2036,2253,2106,1678,475,517,425,418,435,408,2073,1679,1841,1632
"ENSMUSG00000050783.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004842.19",13,9,0,1,0,0,0,3,2,1,0,0,1,0,0,1,1
"ENSMUSG00000004843.8",1915,2426,1053,831,1210,1150,1128,345,350,347,350,331,361,1028,785,852,914
"ENSMUSG00000091243.3",117,76,3,2,22,43,26,6,8,7,14,12,4,8,7,2,18
"ENSMUSG00000064115.14",6,1,0,1,2,0,1,4,1,3,1,1,2,0,0,1,0
"ENSMUSG00000063163.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022707.17",8345,8270,2798,2069,4013,2273,4643,713,1346,1002,1158,1031,1280,3475,5770,5362,7339
"ENSMUSG00000022883.12",1422,569,620,367,373,806,861,157,119,110,70,86,134,398,165,221,219
"ENSMUSG00000052516.20",863,612,39,37,216,188,224,39,40,30,30,41,46,96,105,152,187
"ENSMUSG00000032948.11",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032940.17",3,0,0,3,2,3,4,0,1,1,0,0,0,1,0,0,3
"ENSMUSG00000032932.16",3433,4219,905,639,1913,1567,1326,320,357,229,349,213,351,1484,2270,2020,1865
"ENSMUSG00000022876.19",124,259,62,43,133,38,108,22,19,17,35,7,12,97,26,69,38
"ENSMUSG00000048490.15",5413,5404,380,570,1006,682,700,144,120,109,169,96,134,648,530,689,576
"ENSMUSG00000022867.12",3573,4346,614,938,1845,1201,1333,243,241,257,307,236,224,1683,857,1175,1114
"ENSMUSG00000079546.2",27,20,0,0,0,1,0,0,0,0,0,0,0,0,7,13,12
"ENSMUSG00000022865.15",4516,5738,1919,1637,2316,3686,2739,575,564,458,655,648,736,1558,3237,3019,3568
"ENSMUSG00000022863.16",312,222,66,279,133,186,125,21,23,20,35,28,23,79,92,125,118
"ENSMUSG00000022864.15",942,939,311,390,396,322,386,108,87,92,82,101,84,392,229,318,200
"ENSMUSG00000022860.16",0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000022857.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022762.19",113,133,65,27,56,195,87,31,6,5,6,18,6,93,66,61,97
"ENSMUSG00000094030.2",2,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"ENSMUSG00000110358.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022889.8",1636,1380,972,870,1337,1193,1092,261,267,229,208,278,324,1445,699,797,794
"ENSMUSG00000053062.17",1605,1709,415,644,650,492,577,88,42,80,56,76,48,582,278,470,295
"ENSMUSG00000022890.14",8975,13083,6615,5909,5847,5769,4726,1687,1843,1359,1517,1474,2094,6342,1901,2025,2128
"ENSMUSG00000008976.17",5387,6710,1058,1196,2256,2235,1998,331,401,354,371,454,449,2119,816,933,858
"ENSMUSG00000022892.12",7094,6031,2234,2305,4257,4072,4104,540,583,556,629,587,581,2949,1001,1237,1006
"ENSMUSG00000041134.16",2181,2598,198,302,492,454,430,59,49,47,69,56,61,234,413,522,489
"ENSMUSG00000022893.15",1991,1434,267,379,456,655,436,94,93,64,98,87,75,339,607,473,510
"ENSMUSG00000022894.7",507,380,85,20,112,100,151,62,81,49,76,79,55,79,62,89,94
"ENSMUSG00000044442.12",763,772,196,217,255,297,245,70,66,72,80,81,83,322,67,122,96
"ENSMUSG00000052299.10",4855,5495,900,991,1678,1592,1700,244,288,262,241,296,267,1777,842,1033,901
"ENSMUSG00000041079.13",464,331,331,348,433,385,420,119,117,132,127,109,127,554,163,203,176
"ENSMUSG00000025616.15",3732,4043,824,1065,1038,1054,962,242,241,236,224,222,238,1448,570,682,566
"ENSMUSG00000025613.14",6709,5396,3755,4515,5139,4791,4291,1695,1555,1538,1480,1588,1403,5196,1637,1475,1587
"ENSMUSG00000025610.8",4,2,0,1,2,3,2,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000025612.6",3948,4675,790,2002,1363,1526,1538,282,332,313,208,348,293,1788,836,957,871
"ENSMUSG00000022935.17",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055811.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050520.5",22,16,4,21,9,16,15,1,2,1,3,3,3,3,4,0,1
"ENSMUSG00000050239.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045331.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071471.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090515.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050704.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056350.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050224.4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068078.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000048830.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000009047.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116636.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074928.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022931.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060691.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057650.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000060469.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043982.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051802.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057174.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096534.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095992.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068075.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058172.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068074.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062400.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068073.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057855.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068071.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059113.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044227.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068068.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000068067.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091039.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058368.4",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000062433.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059632.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000056706.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091212.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002489.17",258,112,49,28,82,95,57,16,6,28,8,14,13,38,31,37,35
"ENSMUSG00000022982.11",33245,14714,33187,35844,22358,18266,16387,9586,9761,10159,8021,9532,12453,27927,3840,4098,4070
"ENSMUSG00000022983.17",2634,1456,667,1080,794,655,658,170,145,163,123,141,131,1052,177,200,173
"ENSMUSG00000053414.9",110,64,124,135,148,224,146,45,39,35,22,30,33,127,24,52,46
"ENSMUSG00000022978.12",118,137,127,109,117,112,110,46,35,38,38,21,37,148,101,78,92
"ENSMUSG00000039956.10",1806,985,2305,1251,1599,958,1547,335,356,242,312,284,461,2089,1527,1711,1731
"ENSMUSG00000039929.15",669,405,296,450,234,213,212,23,34,47,36,28,39,372,183,230,214
"ENSMUSG00000039903.19",65,31,17,38,11,19,15,9,4,3,6,4,2,14,3,12,13
"ENSMUSG00000022972.11",185,122,77,88,94,104,66,22,27,24,28,23,24,155,35,30,44
"ENSMUSG00000022973.19",1822,1895,604,743,644,545,598,87,129,97,127,111,75,664,250,373,265
"ENSMUSG00000022974.13",2382,1985,834,1126,637,613,588,137,130,128,110,123,120,856,591,741,670
"ENSMUSG00000039851.12",14,8,0,0,0,0,3,0,0,0,0,0,0,5,3,4,1
"ENSMUSG00000039830.10",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000046160.7",104,56,128,60,26,31,42,8,21,11,9,8,34,28,15,26,13
"ENSMUSG00000022971.19",2537,2058,1373,1371,1529,1375,1433,383,459,502,405,455,494,1737,888,1173,1206
"ENSMUSG00000093701.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022969.14",526,432,386,377,665,455,573,92,136,131,148,106,97,441,110,146,170
"ENSMUSG00000022967.14",3625,3671,1049,1093,1742,1582,1587,224,308,243,306,253,323,1649,679,859,762
"ENSMUSG00000022965.9",1181,1448,850,503,1119,915,985,202,169,196,261,191,202,1014,189,282,225
"ENSMUSG00000022964.15",414,253,328,340,353,390,311,75,83,66,80,71,74,410,129,165,177
"ENSMUSG00000039763.11",1088,1081,235,284,612,589,553,85,108,73,86,128,148,638,423,441,589
"ENSMUSG00000022962.16",2060,1529,392,435,907,827,762,159,164,174,175,158,187,1004,811,809,760
"ENSMUSG00000022961.19",26353,22424,6439,8573,7469,7657,7000,2224,2385,2316,2283,2301,2150,9527,4995,6253,5886
"ENSMUSG00000022960.14",467,520,185,298,141,129,155,42,49,47,52,45,45,160,148,162,155
"ENSMUSG00000116933.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058240.15",1060,1100,408,635,553,548,467,149,142,134,125,104,173,631,233,321,285
"ENSMUSG00000022957.21",4728,3085,1464,1096,2463,1525,1488,291,262,322,536,230,315,1671,742,912,831
"ENSMUSG00000022956.12",2851,3061,3482,3765,1984,2343,1911,1053,1006,855,971,895,1102,2769,2245,2204,2371
"ENSMUSG00000039680.11",211,174,368,330,191,192,211,79,72,66,92,64,81,239,49,49,49
"ENSMUSG00000116930.2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089774.3",1933,2122,129,108,196,277,170,39,66,46,29,41,40,124,252,326,270
"ENSMUSG00000039672.13",6,6,2,5,7,5,1,0,2,3,0,0,2,5,2,0,0
"ENSMUSG00000051989.12",351,331,477,585,344,306,333,158,160,165,146,147,144,334,83,88,96
"ENSMUSG00000051728.8",1,0,1,0,1,3,0,1,1,1,0,0,2,2,0,0,2
"ENSMUSG00000039639.8",0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022951.17",1130,982,1165,705,1323,789,727,241,228,324,337,233,188,1244,706,639,785
"ENSMUSG00000022949.10",10,3,1,0,3,6,5,0,3,1,2,2,2,2,1,2,0
"ENSMUSG00000022952.18",455,543,64,27,109,55,105,9,32,21,34,16,8,93,11,38,31
"ENSMUSG00000022948.17",1170,686,1144,1194,379,253,291,175,271,298,244,155,202,400,545,458,726
"ENSMUSG00000051483.10",5439,4736,3415,6181,3436,2313,2251,651,970,734,765,671,892,4365,184,272,284
"ENSMUSG00000082815.3",0,2,304,574,298,186,169,73,116,65,69,53,97,404,0,0,0
"ENSMUSG00000022947.9",40,74,49,87,98,70,78,14,12,22,30,15,27,91,14,22,9
"ENSMUSG00000022946.11",3170,1709,1522,1537,1895,2036,1876,406,317,303,285,322,313,1766,384,594,420
"ENSMUSG00000039456.11",2685,3257,971,1291,889,1032,877,139,174,153,157,202,153,937,921,1002,1012
"ENSMUSG00000022945.13",58,57,69,55,83,109,131,11,22,23,25,28,16,127,10,25,28
"ENSMUSG00000047109.14",391,212,674,398,431,376,418,105,92,118,154,95,103,683,191,197,224
"ENSMUSG00000062713.9",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000040820.17",1388,989,611,639,879,776,1015,183,240,172,183,179,216,891,226,280,314
"ENSMUSG00000022941.9",156,136,93,87,95,89,91,14,6,15,11,13,14,57,32,39,31
"ENSMUSG00000022940.18",489,787,637,862,431,661,445,102,147,131,113,174,163,516,265,390,331
"ENSMUSG00000040785.20",4461,4172,797,767,1046,1393,1169,139,251,187,184,240,283,1058,1081,1263,1268
"ENSMUSG00000022898.14",1364,944,768,742,1417,1258,1242,209,278,208,275,219,263,1356,1102,1212,1297
"ENSMUSG00000022897.16",3458,3534,737,996,1178,1080,1136,183,219,168,210,202,225,1183,604,633,664
"ENSMUSG00000043301.17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062609.15",37,36,13,17,38,24,25,2,1,2,4,2,5,6,5,7,18
"ENSMUSG00000040732.21",487,550,163,198,229,289,268,32,34,27,55,36,42,152,70,86,61
"ENSMUSG00000022895.17",2468,1881,1482,1269,1351,1400,1219,283,242,272,313,304,288,1071,878,882,844
"ENSMUSG00000022913.17",756,464,897,898,736,632,544,252,227,199,233,222,217,715,443,489,436
"ENSMUSG00000022914.18",15352,11598,1840,2930,2257,2525,1827,365,378,353,334,316,401,2387,2740,3593,2997
"ENSMUSG00000040681.17",4370,3761,2767,3216,2696,3006,2292,999,824,809,900,914,932,2581,1203,1390,1340
"ENSMUSG00000023147.18",273,129,209,278,165,168,154,50,56,37,40,34,32,145,138,185,176
"ENSMUSG00000045275.18",30,14,6,4,0,0,5,1,0,2,0,2,0,3,11,0,10
"ENSMUSG00000040666.20",1,5,0,3,1,7,1,1,0,0,3,0,0,6,0,1,1
"ENSMUSG00000074892.10",8,10,2,3,10,12,3,1,0,2,2,3,0,7,0,0,5
"ENSMUSG00000000159.17",968,517,612,477,428,454,346,124,133,128,176,142,149,480,421,525,408
"ENSMUSG00000117081.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000157.17",1001,362,78,41,88,64,72,11,12,19,16,14,28,146,178,185,247
"ENSMUSG00000090223.3",0,0,2,1,1,2,2,0,1,1,0,0,0,0,2,0,1
"ENSMUSG00000050272.11",4,3,5,0,2,0,0,1,0,0,1,0,0,1,0,5,4
"ENSMUSG00000040605.8",490,471,248,278,340,403,323,97,89,70,103,87,47,187,137,192,175
"ENSMUSG00000022938.9",6,5,1,1,3,6,5,0,3,1,2,1,1,4,0,3,0
"ENSMUSG00000000385.9",586,452,495,810,540,425,461,169,107,73,134,113,108,761,282,535,450
"ENSMUSG00000005251.16",266,227,159,456,221,297,209,43,48,56,36,53,58,278,231,222,202
"ENSMUSG00000014039.19",1004,601,261,645,236,258,220,39,41,28,48,29,46,306,141,179,137
"ENSMUSG00000045975.9",11740,8376,4025,3690,6630,5565,5951,1107,1186,1028,929,1106,1270,7180,3051,3747,3193
"ENSMUSG00000046962.17",1826,1493,331,523,402,377,359,54,83,59,100,56,87,381,225,263,206
"ENSMUSG00000080717.11",528,500,80,79,128,126,96,37,24,27,28,22,20,138,134,151,145
"ENSMUSG00000116673.2",369,403,55,48,128,109,111,24,25,12,21,16,17,87,49,56,62
"ENSMUSG00000046201.10",3694,2930,557,854,1039,953,863,126,143,132,148,148,157,1020,477,590,471
"ENSMUSG00000023800.16",910,657,414,123,797,313,831,108,136,101,142,66,210,547,462,403,604
"ENSMUSG00000036983.8",560,417,212,191,314,321,244,71,59,60,56,59,49,380,204,224,201
"ENSMUSG00000023802.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ENSMUSG00000069729.15",4445,3006,585,562,1354,926,1237,177,206,185,156,197,206,1243,502,592,603
"ENSMUSG00000004945.16",1350,1098,1245,1020,1110,1098,996,359,391,332,362,345,409,1422,683,663,856
"ENSMUSG00000101959.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034265.9",347,227,147,224,204,159,127,49,67,58,108,36,34,104,45,116,109
"ENSMUSG00000002365.11",3506,3068,1431,1401,2203,1725,2138,429,509,498,459,459,515,2021,949,1105,1156
"ENSMUSG00000023805.18",481,255,320,223,115,179,168,23,41,30,51,44,36,253,160,239,224
"ENSMUSG00000015659.13",442,369,45,90,151,122,145,12,13,9,17,17,22,192,104,193,137
"ENSMUSG00000034345.15",1249,971,1497,1360,852,850,783,425,390,358,468,399,477,976,679,678,675
