"","SRR10025177","SRR10025178","SRR10025179","SRR9119213","SRR9119214","SRR9119215","SRR7050693","SRR7050694","SRR7050695","SRR15809339","SRR15809340","SRR13640879","SRR13640881","SRR13640883","SRR6292438","SRR6292439"
"ENSMUSG00000037216.6",254,276,290,138,161,120,275,299,259,149,114,109,129,112,133,84
"ENSMUSG00000026088.16",536,537,817,153,150,136,364,349,390,192,318,216,245,278,114,65
"ENSMUSG00000026087.12",839,937,1596,861,1019,672,1495,1382,1479,604,411,955,1021,1066,918,517
"ENSMUSG00000061584.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026085.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058407.13",1853,1965,2629,818,851,758,1748,1726,1842,412,443,904,971,997,352,291
"ENSMUSG00000026083.13",5529,6379,9453,1469,1306,902,3779,3700,4474,803,1076,1572,2204,2083,1044,434
"ENSMUSG00000026082.12",1592,1399,2190,138,98,98,425,568,322,496,599,166,243,311,49,98
"ENSMUSG00000037138.19",217,239,519,39,17,14,37,46,32,15,38,21,18,34,18,4
"ENSMUSG00000048814.12",0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026080.15",24,29,137,7,4,0,8,4,5,0,4,0,5,9,1,0
"ENSMUSG00000067604.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026078.11",855,911,1373,370,313,309,759,622,905,207,220,343,507,466,202,219
"ENSMUSG00000026077.16",864,706,121,32,20,362,91,19,498,32,103,0,17,6,18,17
"ENSMUSG00000073702.12",3555,4004,7854,3529,3600,2368,5327,4562,5201,2647,1751,3213,3501,4624,4293,2283
"ENSMUSG00000003134.11",1558,1692,1547,266,240,265,899,802,936,418,678,285,531,547,550,216
"ENSMUSG00000003135.16",717,824,1259,358,315,328,718,723,843,189,244,313,325,251,194,142
"ENSMUSG00000048234.14",2410,2581,2669,1484,1317,1423,1998,2105,2228,195,270,884,1358,1333,977,734
"ENSMUSG00000050967.6",3,2,28,1,0,1,1,1,0,1,0,0,0,3,2,0
"ENSMUSG00000057173.9",4,4,3,1,1,0,0,0,2,0,0,0,0,1,0,0
"ENSMUSG00000091937.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026074.16",2531,2681,2451,358,188,411,630,571,1398,320,613,136,239,354,206,174
"ENSMUSG00000026073.14",7,3,75,2,1,1,1,1,3,2,1,12,9,39,0,0
"ENSMUSG00000026072.13",1682,1493,3269,603,260,407,1016,985,1014,789,1837,546,1506,1272,197,186
"ENSMUSG00000070942.9",55,46,100,8,9,5,19,29,31,19,11,0,4,1,4,7
"ENSMUSG00000026069.16",5,9,23,1,0,4,6,3,6,2,1,0,7,1,0,0
"ENSMUSG00000026070.16",70,61,476,24,19,11,29,21,43,16,32,8,32,26,2,2
"ENSMUSG00000026068.12",74,52,224,28,4,7,31,17,44,29,47,8,24,34,1,5
"ENSMUSG00000026065.9",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026062.13",4,8,2,0,0,1,4,0,4,15,24,0,0,0,6,0
"ENSMUSG00000041945.13",30,50,38,31,17,25,34,31,21,2,3,10,6,14,25,20
"ENSMUSG00000079588.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045515.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000060679.15",1038,1112,1920,516,592,395,878,874,952,391,413,323,383,477,576,319
"ENSMUSG00000041907.10",0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000070939.10",2744,2834,3108,851,666,823,1885,1901,1722,620,795,704,733,803,642,511
"ENSMUSG00000010290.8",415,479,888,218,196,229,380,395,534,223,345,111,218,245,81,78
"ENSMUSG00000008136.15",56,46,33,3,1,2,10,7,15,6,8,1,5,46,0,2
