"","SRR13842739","SRR13842740","SRR13842741","SRR13842742","SRR13842743","SRR13842744","SRR13842745","SRR13842746","SRR13842747","SRR13842748","SRR13842749","SRR13842750","SRR13842751","SRR13842752","SRR13842753","SRR13884080","SRR13884092","SRR13884104"
"ENSMUSG00000043310.5",3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.359128,3.374459,3.374459,3.374459
"ENSMUSG00000045824.7",3.717999,3.225498,3.225498,3.703762,4.08086,4.337198,3.225498,3.563596,4.569568,3.225498,3.225498,3.225498,3.797157,3.838393,3.225498,3.774101,3.623178,3.509901
"ENSMUSG00000066269.8",3.258393,3.258393,3.258393,3.736657,3.757016,3.258393,3.258393,3.258393,3.948402,3.258393,3.78633,3.258393,4.061722,3.258393,3.258393,3.30603,3.30603,3.30603
"ENSMUSG00000043354.3",3.257031,3.758225,3.257031,3.257031,3.257031,3.257031,3.257031,3.257031,3.257031,3.257031,3.257031,3.257031,3.257031,3.869926,3.257031,3.278808,3.278808,3.278808
"ENSMUSG00000066268.7",3.255308,3.255308,3.908031,3.255308,3.255308,3.255308,3.255308,3.255308,3.255308,3.255308,3.255308,3.255308,3.255308,3.255308,3.255308,3.261481,3.261481,3.261481
"ENSMUSG00000073956.4",3.66897,3.319878,3.319878,3.798142,3.319878,3.319878,3.319878,3.319878,3.319878,3.319878,3.319878,3.319878,3.319878,3.319878,3.319878,3.344047,3.344047,3.344047
"ENSMUSG00000073954.6",3.257494,3.257494,3.257494,3.257494,3.257494,3.257494,3.257494,3.595592,3.257494,3.257494,3.257494,3.257494,3.257494,3.257494,3.257494,3.231272,3.231272,3.231272
"ENSMUSG00000073952.6",3.273584,3.273584,3.273584,3.751848,3.273584,3.273584,3.273584,3.273584,3.273584,3.273584,3.273584,3.273584,3.273584,3.273584,3.273584,3.284277,3.284277,3.284277
"ENSMUSG00000058976.5",3.240577,3.240577,3.240577,3.240577,3.240577,3.747524,3.240577,3.240577,3.240577,3.240577,3.240577,3.240577,3.240577,3.240577,3.240577,3.260977,3.260977,3.260977
"ENSMUSG00000081945.5",3.29074,3.29074,3.29074,3.769004,3.29074,3.29074,3.29074,3.29074,3.29074,3.29074,3.29074,3.29074,3.29074,3.29074,3.29074,3.310874,3.310874,3.310874
"ENSMUSG00000078624.5",3.299051,3.299051,3.299051,3.299051,3.299051,3.805998,3.299051,3.637149,3.299051,3.299051,3.299051,3.299051,3.299051,3.299051,3.299051,3.297846,3.297846,3.297846
"ENSMUSG00000045132.4",4.427448,5.12248,6.355138,5.047311,5.738422,3.802978,4.246809,5.300667,3.786243,3.296031,3.296031,5.062083,4.543456,3.296031,3.983007,4.284679,3.986456,3.466007
"ENSMUSG00000045780.4",3.85515,3.506057,3.506057,3.506057,4.004681,4.013004,4.113819,3.844155,3.506057,3.506057,3.506057,3.506057,3.506057,3.506057,3.506057,3.91193,3.849662,4.029892
"ENSMUSG00000094822.3",3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.294574,3.287971,3.287971,3.287971
"ENSMUSG00000096516.4",3.278723,3.278723,3.278723,3.756987,3.278723,3.278723,3.278723,3.278723,3.278723,3.278723,3.278723,3.278723,3.278723,3.278723,3.278723,3.259204,3.259204,3.259204
"ENSMUSG00000073940.4",9.211287,10.34192,8.291677,7.869904,9.827341,8.79567,8.181503,9.036786,8.489968,9.758163,9.010263,9.72972,9.153009,9.183067,8.665844,7.96703,8.020178,9.681066
"ENSMUSG00000052305.7",10.01084,11.12891,8.955749,8.565968,10.5472,9.485517,8.998031,9.74849,9.482442,10.43128,9.747506,10.46978,9.836596,9.872488,9.48502,8.303231,8.500924,10.30036
"ENSMUSG00000052187.5",3.083027,3.788345,3.735749,3.561291,3.58165,3.589974,3.514356,3.665996,3.573238,3.993443,3.083027,3.911638,3.654686,3.083027,3.083027,3.905414,3.525449,3.563616
"ENSMUSG00000063615.7",3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.271006,3.2628,3.2628,3.2628
